Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,All_Symptoms
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,itching _skin_rash _nodal_skin_eruptions _dischromic__patches
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,_skin_rash _nodal_skin_eruptions _dischromic__patches
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,itching _nodal_skin_eruptions _dischromic__patches
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,itching _skin_rash _dischromic__patches
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,itching _skin_rash _nodal_skin_eruptions
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,_skin_rash _nodal_skin_eruptions _dischromic__patches
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,itching _nodal_skin_eruptions _dischromic__patches
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,itching _skin_rash _dischromic__patches
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,itching _skin_rash _nodal_skin_eruptions
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,itching _skin_rash _nodal_skin_eruptions _dischromic__patches
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,_continuous_sneezing _shivering _chills _watering_from_eyes
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,_shivering _chills _watering_from_eyes
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,_continuous_sneezing _chills _watering_from_eyes
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,_continuous_sneezing _shivering _watering_from_eyes
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,_continuous_sneezing _shivering _chills
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,_shivering _chills _watering_from_eyes
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,_continuous_sneezing _chills _watering_from_eyes
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,_continuous_sneezing _shivering _watering_from_eyes
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,_continuous_sneezing _shivering _chills
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,_continuous_sneezing _shivering _chills _watering_from_eyes
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,_stomach_pain _acidity _ulcers_on_tongue _vomiting _cough _chest_pain
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,_stomach_pain _ulcers_on_tongue _vomiting _cough _chest_pain
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,_stomach_pain _acidity _vomiting _cough _chest_pain
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,_stomach_pain _acidity _ulcers_on_tongue _cough _chest_pain
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,,,,,,,,,,,,,_stomach_pain _acidity _ulcers_on_tongue _vomiting _chest_pain
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,,,,,,,,,,,,,_stomach_pain _acidity _ulcers_on_tongue _vomiting _cough
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,_acidity _ulcers_on_tongue _vomiting _cough _chest_pain
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,_stomach_pain _ulcers_on_tongue _vomiting _cough _chest_pain
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,_stomach_pain _acidity _vomiting _cough _chest_pain
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,_stomach_pain _acidity _ulcers_on_tongue _cough _chest_pain
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,itching _vomiting _yellowish_skin _nausea _loss_of_appetite _abdominal_pain _yellowing_of_eyes
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,_vomiting _yellowish_skin _nausea _loss_of_appetite _abdominal_pain _yellowing_of_eyes
